[1:000050]	 MAIN	Start main process

[1:000180]	 EXCV	Executive wakes up
[1:000182]	 EXCV	Checking deadline miss
[1:000183]	 EXCV	Begin frame 0
[1:000189]	 EXCV	Signal on task 0
[1:000190]	 EXCV	Signal on task 1
[1:000191]	 EXCV	Signal on task 2
[1:000192]	 EXCV	Executive sleeps

[1:000194]	 TSK0	Execution started
[1:008211]	 TSK0	Execution stopped
[1:008213]	 TSK1	Execution started
[1:025897]	 TSK1	Execution stopped
[1:025898]	 TSK2	Execution started
[1:033757]	 TSK2	Execution stopped

[1:040323]	 EXCV	Executive wakes up
[1:040327]	 EXCV	Checking deadline miss
[1:040328]	 EXCV	Ap task request detected
[1:040331]	 EXCV	Begin frame 1
[1:040336]	 EXCV	Signal on task 0
[1:040338]	 EXCV	Signal on task 3
[1:040339]	 EXCV	Executive sleeps

[1:040343]	 TSK0	Execution started
[1:048371]	 TSK0	Execution stopped
[1:048373]	 TSK3	Execution started
[1:074896]	 TSK3	Execution stopped
[1:074898]	 APER	Aperiodic execution started

[1:080230]	 EXCV	Executive wakes up
[1:080230]	 EXCV	Checking deadline miss
[1:080231]	 EXCV	Begin frame 2
[1:080232]	 EXCV	Signal on task 0
[1:080234]	 EXCV	Signal on task 1
[1:080234]	 EXCV	Executive sleeps

[1:080235]	 TSK0	Execution started
[1:088094]	 TSK0	Execution stopped
[1:088096]	 TSK1	Execution started
[1:105777]	 TSK1	Execution stopped

[1:120230]	 EXCV	Executive wakes up
[1:120230]	 EXCV	Checking deadline miss
[1:120231]	 EXCV	Begin frame 3
[1:120232]	 EXCV	Signal on task 0
[1:120233]	 EXCV	Signal on task 1
[1:120233]	 EXCV	Executive sleeps

[1:120234]	 TSK0	Execution started
[1:128093]	 TSK0	Execution stopped
[1:128094]	 TSK1	Execution started
[1:145775]	 TSK1	Execution stopped
[1:155534]	 APER	Aperiodic execution stopped

[1:160318]	 EXCV	Executive wakes up
[1:160322]	 EXCV	Checking deadline miss
[1:160323]	 EXCV	Ap task request detected
[1:160326]	 EXCV	Begin frame 4
[1:160331]	 EXCV	Signal on task 0
[1:160334]	 EXCV	Signal on task 1
[1:160336]	 EXCV	Signal on task 4
[1:160336]	 EXCV	Executive sleeps

[1:160340]	 TSK0	Execution started
[1:168422]	 TSK0	Execution stopped
[1:168425]	 TSK1	Execution started
[1:186107]	 TSK1	Execution stopped
[1:186109]	 TSK4	Execution started
[1:194066]	 TSK4	Execution stopped
[1:194080]	 APER	Aperiodic execution started

[1:200232]	 EXCV	Executive wakes up
[1:200233]	 EXCV	Checking deadline miss
[1:200234]	 EXCV	Begin frame 0
[1:200238]	 EXCV	Signal on task 0
[1:200239]	 EXCV	Signal on task 1
[1:200241]	 EXCV	Signal on task 2
[1:200241]	 EXCV	Executive sleeps

[1:200244]	 TSK0	Execution started
[1:208103]	 TSK0	Execution stopped
[1:208105]	 TSK1	Execution started
[1:225786]	 TSK1	Execution stopped
[1:225789]	 TSK2	Execution started
[1:233647]	 TSK2	Execution stopped

[1:240230]	 EXCV	Executive wakes up
[1:240230]	 EXCV	Checking deadline miss
[1:240231]	 EXCV	Begin frame 1
[1:240232]	 EXCV	Signal on task 0
[1:240233]	 EXCV	Signal on task 3
[1:240234]	 EXCV	Executive sleeps

[1:240235]	 TSK0	Execution started
[1:248094]	 TSK0	Execution stopped
[1:248095]	 TSK3	Execution started
[1:274616]	 TSK3	Execution stopped

[1:280230]	 EXCV	Executive wakes up
[1:280230]	 EXCV	Checking deadline miss
[1:280230]	 EXCV	Ap task request detected
[1:280231]	 EXCV	Ap task DEADLINE MISS DETECTED. Aborting new execution
[1:280231]	 EXCV	Begin frame 2
[1:280232]	 EXCV	Signal on task 0
[1:280233]	 EXCV	Signal on task 1
[1:280234]	 EXCV	Executive sleeps

[1:280235]	 TSK0	Execution started
[1:288097]	 TSK0	Execution stopped
[1:288099]	 TSK1	Execution started
[1:305780]	 TSK1	Execution stopped
[1:316943]	 APER	Aperiodic execution stopped

[1:320321]	 EXCV	Executive wakes up
[1:320325]	 EXCV	Checking deadline miss
[1:320327]	 EXCV	Begin frame 3
[1:320332]	 EXCV	Signal on task 0
[1:320334]	 EXCV	Signal on task 1
[1:320334]	 EXCV	Executive sleeps

[1:320338]	 TSK0	Execution started
[1:328380]	 TSK0	Execution stopped
[1:328383]	 TSK1	Execution started
[1:346063]	 TSK1	Execution stopped

[1:360323]	 EXCV	Executive wakes up
[1:360326]	 EXCV	Checking deadline miss
[1:360328]	 EXCV	Begin frame 4
[1:360333]	 EXCV	Signal on task 0
[1:360335]	 EXCV	Signal on task 1
[1:360337]	 EXCV	Signal on task 4
