[1:000049]	 MAIN	Start main process

[1:000176]	 EXCV	Executive wakes up
[1:000177]	 EXCV	Checking deadline miss
[1:000178]	 EXCV	Begin frame 0
[1:000183]	 EXCV	Signal on task 0
[1:000185]	 EXCV	Signal on task 1
[1:000186]	 EXCV	Signal on task 2
[1:000186]	 EXCV	Executive sleeps

[1:000189]	 TSK0	Execution started

[1:040228]	 EXCV	Executive wakes up
[1:040229]	 EXCV	Checking deadline miss
[1:040229]	 EXCV	DEADLINE MISS DETECTED from task 0
[1:040230]	 EXCV	ABORTING TASK 1
[1:040230]	 EXCV	ABORTING TASK 2
[1:040231]	 EXCV	Begin frame 1
[1:040232]	 EXCV	Signal on task 0
[1:040234]	 EXCV	Signal on task 3
[1:040234]	 EXCV	Executive sleeps

[1:042574]	 TSK0	Execution stopped
[1:042578]	 TSK3	Execution started
[1:069050]	 TSK3	Execution stopped

[1:080313]	 EXCV	Executive wakes up
[1:080317]	 EXCV	Checking deadline miss
[1:080319]	 EXCV	Begin frame 2
[1:080325]	 EXCV	Signal on task 0
[1:080327]	 EXCV	Signal on task 1
[1:080327]	 EXCV	Executive sleeps

[1:080330]	 TSK0	Execution started
[1:088313]	 TSK0	Execution stopped
[1:088315]	 TSK1	Execution started
[1:106353]	 TSK1	Execution stopped

[1:120313]	 EXCV	Executive wakes up
[1:120317]	 EXCV	Checking deadline miss
[1:120319]	 EXCV	Begin frame 3
[1:120324]	 EXCV	Signal on task 0
[1:120326]	 EXCV	Signal on task 1
[1:120326]	 EXCV	Executive sleeps

[1:120330]	 TSK0	Execution started
[1:128640]	 TSK0	Execution stopped
[1:128669]	 TSK1	Execution started
[1:146642]	 TSK1	Execution stopped

[1:160313]	 EXCV	Executive wakes up
[1:160317]	 EXCV	Checking deadline miss
[1:160319]	 EXCV	Begin frame 4
[1:160324]	 EXCV	Signal on task 0
[1:160327]	 EXCV	Signal on task 1
[1:160329]	 EXCV	Signal on task 4
[1:160329]	 EXCV	Executive sleeps

[1:160333]	 TSK0	Execution started
[1:168331]	 TSK0	Execution stopped
[1:168334]	 TSK1	Execution started
[1:185983]	 TSK1	Execution stopped
[1:185985]	 TSK4	Execution started
[1:193982]	 TSK4	Execution stopped

[1:200312]	 EXCV	Executive wakes up
[1:200316]	 EXCV	Checking deadline miss
[1:200318]	 EXCV	Begin frame 0
[1:200324]	 EXCV	Signal on task 0
[1:200326]	 EXCV	Signal on task 1
[1:200328]	 EXCV	Signal on task 2
[1:200329]	 EXCV	Executive sleeps

[1:200332]	 TSK0	Execution started
[1:208395]	 TSK0	Execution stopped
[1:208398]	 TSK1	Execution started
[1:227654]	 TSK1	Execution stopped
[1:227663]	 TSK2	Execution started
[1:235518]	 TSK2	Execution stopped

[1:240314]	 EXCV	Executive wakes up
[1:240318]	 EXCV	Checking deadline miss
[1:240320]	 EXCV	Begin frame 1
[1:240325]	 EXCV	Signal on task 0
[1:240328]	 EXCV	Signal on task 3
[1:240328]	 EXCV	Executive sleeps

[1:240332]	 TSK0	Execution started
[1:248336]	 TSK0	Execution stopped
[1:248339]	 TSK3	Execution started
[1:274812]	 TSK3	Execution stopped

[1:280315]	 EXCV	Executive wakes up
[1:280318]	 EXCV	Checking deadline miss
