[1:000032]	 MAIN	Start main process

[1:000145]	 EXCV	Executive wakes up
[1:000146]	 EXCV	Checking deadline miss
[1:000148]	 EXCV	Begin frame 0
[1:000151]	 EXCV	Signal on task 0
[1:000152]	 EXCV	Signal on task 1
[1:000153]	 EXCV	Signal on task 2
[1:000153]	 EXCV	Executive sleeps


[1:040280]	 EXCV	Executive wakes up
[1:040284]	 EXCV	Checking deadline miss
[1:040286]	 EXCV	Begin frame 1
[1:040291]	 EXCV	Signal on task 0
[1:040293]	 EXCV	Signal on task 3
[1:040294]	 EXCV	Executive sleeps

[1:040297]	 TSK0	Execution started
[1:048318]	 TSK0	Execution stopped
[1:048320]	 TSK3	Execution started
[1:074883]	 TSK3	Execution stopped

[1:080288]	 EXCV	Executive wakes up
[1:080292]	 EXCV	Checking deadline miss
[1:080293]	 EXCV	Ap task request detected
[1:080297]	 EXCV	Begin frame 2
[1:080301]	 EXCV	Signal on task 0
[1:080304]	 EXCV	Signal on task 1
[1:080304]	 EXCV	Executive sleeps

[1:080307]	 TSK0	Execution started
[1:088373]	 TSK0	Execution stopped
[1:088376]	 TSK1	Execution started
[1:106085]	 TSK1	Execution stopped
[1:106087]	 APER	Aperiodic execution started
[1:115925]	 APER	Aperiodic execution stopped

[1:120283]	 EXCV	Executive wakes up
[1:120287]	 EXCV	Checking deadline miss
[1:120289]	 EXCV	Begin frame 3
[1:120295]	 EXCV	Signal on task 0
[1:120297]	 EXCV	Signal on task 1
[1:120297]	 EXCV	Executive sleeps

[1:120301]	 TSK0	Execution started
[1:128401]	 TSK0	Execution stopped
[1:128403]	 TSK1	Execution started
[1:146112]	 TSK1	Execution stopped

[1:160280]	 EXCV	Executive wakes up
[1:160284]	 EXCV	Checking deadline miss
[1:160286]	 EXCV	Begin frame 4
[1:160291]	 EXCV	Signal on task 0
[1:160293]	 EXCV	Signal on task 1
[1:160295]	 EXCV	Signal on task 4
[1:160296]	 EXCV	Executive sleeps

[1:160299]	 TSK0	Execution started
[1:168385]	 TSK0	Execution stopped
[1:168387]	 TSK1	Execution started
[1:186099]	 TSK1	Execution stopped
[1:186101]	 TSK4	Execution started
[1:193971]	 TSK4	Execution stopped

[1:200228]	 EXCV	Executive wakes up
[1:200231]	 EXCV	Checking deadline miss
[1:200233]	 EXCV	Begin frame 0
[1:200238]	 EXCV	Signal on task 0
[1:200240]	 EXCV	Signal on task 1
[1:200242]	 EXCV	Signal on task 2
[1:200243]	 EXCV	Executive sleeps

[1:200246]	 TSK0	Execution started
[1:208274]	 TSK0	Execution stopped
[1:208276]	 TSK1	Execution started
[1:225995]	 TSK1	Execution stopped
[1:225998]	 TSK2	Execution started
[1:233869]	 TSK2	Execution stopped

[1:240285]	 EXCV	Executive wakes up
[1:240289]	 EXCV	Checking deadline miss
[1:240291]	 EXCV	Begin frame 1
[1:240296]	 EXCV	Signal on task 0
[1:240298]	 EXCV	Signal on task 3
[1:240299]	 EXCV	Executive sleeps

[1:240302]	 TSK0	Execution started
[1:248402]	 TSK0	Execution stopped
[1:248404]	 TSK3	Execution started
[1:274966]	 TSK3	Execution stopped

